"Дата посещения","День недели","Торговый представитель","Номер точки маршрута","Название точки","Адрес точки","Время прибытия","Продолжительность посещения","Частота посещения ( раз в неделю)","Дистанция до следующей"
"5/23/2020","Saturday","Мерчендайзер-3","1","Пятёрочка","г.Казань, Фучика ул., 53а","09:00","00:52","1","0.594"
"5/23/2020","Saturday","Мерчендайзер-3","2","Эссен","г.Казань, Кул-Гали ул., 9А","09:52:35","00:35","4","7.032"
"5/23/2020","Saturday","Мерчендайзер-3","3","Магнит","г.Казань, Юлиуса Фучика ул., 88","10:34:36","00:10","2","4.798"
"5/23/2020","Saturday","Мерчендайзер-3","4","Пятёрочка","г.Казань, Рихарда Зорге ул., 67","10:49:23","00:57","1","4.589"
"5/23/2020","Saturday","Мерчендайзер-3","5","Эдельвейс","г.Казань, Фучика ул., 72","11:50:58","01:59","3","5.621"
"5/23/2020","Saturday","Мерчендайзер-3","6","Эдельвейс","г.Казань, Фучика ул., 30","13:55:35","01:20","3","0.0"
"5/23/2020","Saturday","Мерчендайзер-4","1","Пятёрочка","г.Казань, Мавлютова ул., 29","09:00","00:33","3","2.366"
"5/23/2020","Saturday","Мерчендайзер-4","2","Эдельвейс","г.Казань, Петербургская ул., 1","09:35:21","02:27","3","6.173"
"5/23/2020","Saturday","Мерчендайзер-4","3","Магнит","г.Казань, Фатыха Амирхана пр-т, 2","12:08:31","01:26","2","3.264"
"5/23/2020","Saturday","Мерчендайзер-4","4","Верный","г.Казань, Ямашева пр-кт, 33б","13:37:46","00:45","2","0.889"
"5/23/2020","Saturday","Мерчендайзер-4","5","Магнит","г.Казань, Амирхана ул., 71","14:23:39","01:16","2","1.017"
"5/23/2020","Saturday","Мерчендайзер-4","6","Магнит","г.Казань, Ямашева пр-кт, 39","15:40:40","02:35","2","0.0"
"5/23/2020","Saturday","Мерчендайзер-5","1","Эдельвейс","г.Казань, Ломжинская ул, 2 а","09:00","00:54","4","0.839"
"5/23/2020","Saturday","Мерчендайзер-5","2","Пятёрочка","г.Казань, Победы пр-кт, 19","09:54:50","02:44","2","0.562"
"5/23/2020","Saturday","Мерчендайзер-5","3","Магнит","г.Казань, Петербургская ул., 1","12:39:23","01:12","2","1.007"
"5/23/2020","Saturday","Мерчендайзер-5","4","Магнит","г.Казань, Татарстан ул., 18","13:52:23","00:49","2","2.175"
"5/23/2020","Saturday","Мерчендайзер-5","5","Эдельвейс","г.Казань, Парина ул., 16","14:43:33","00:46","3","1.106"
"5/23/2020","Saturday","Мерчендайзер-5","6","Эдельвейс","г.Казань, Мусина ул., 61б","15:30:39","00:26","2","1.942"
"5/23/2020","Saturday","Мерчендайзер-5","7","Перекресток","г.Казань, Декабристов ул., 79","15:58:35","00:40","2","0.0"
"5/23/2020","Saturday","Мерчендайзер-6","1","Бахетле","г.Казань, Ямашева пр-кт, 71а","09:00","01:03","3","1.322"
"5/23/2020","Saturday","Мерчендайзер-6","2","Бахетле","г.Казань, Декабристов ул., 178А","10:04:19","01:20","3","1.676"
"5/23/2020","Saturday","Мерчендайзер-6","3","Бахетле","г.Казань, Проспект Победы , 141","11:25:59","01:09","3","3.914"
"5/23/2020","Saturday","Мерчендайзер-6","4","Эдельвейс","г.Казань, Восстания ул., 56","12:38:53","01:05","3","0.717"
"5/23/2020","Saturday","Мерчендайзер-6","5","Эдельвейс","г.Казань, Лушникова ул., 2","13:44:36","01:07","2","0.0"
"5/23/2020","Saturday","Мерчендайзер-7","1","Детский мир","г.Казань, Петербургская ул., 9","09:00","03:05","5","1.284"
"5/23/2020","Saturday","Мерчендайзер-7","2","Детский мир","г.Казань, Рихарда Зорге ул., 11б","12:06:17","02:18","3","0.0"
"5/23/2020","Saturday","Мерчендайзер-8","1","Пятёрочка","г.Казань, Сибирский тракт ул., 17","09:00","01:18","2","3.153"
"5/23/2020","Saturday","Мерчендайзер-8","2","Пятёрочка","г.Казань, Ибрагимова пр-кт, 1","10:21:09","00:59","2","1.877"
"5/23/2020","Saturday","Мерчендайзер-8","3","Бахетле","г.Казань, Сибирский тракт, 4","11:22:01","01:10","3","5.122"
"5/23/2020","Saturday","Мерчендайзер-8","4","Пятёрочка","г.Казань, Павлюхина ул., 110в","12:37:08","01:33","2","0.0"
"5/23/2020","Saturday","Мерчендайзер-9","1","Дочки-сыночки","г.Казань, Чуйкова ул., 28","09:00","03:35","3","0.0"
"5/23/2020","Saturday","Мерчендайзер-9","2","Эдельвейс","г.Казань, Ямашева пр-кт, 54","12:35","00:52","3","0.527"
"5/23/2020","Saturday","Мерчендайзер-9","3","Эдельвейс","г.Казань, Чуйкова ул., 38","13:27:31","00:58","2","0.0"
"5/23/2020","Saturday","Мерчендайзер-10","1","Перекресток","г.Казань, Сибирский тракт ул., 34","09:00","00:56","2","0.868"
"5/23/2020","Saturday","Мерчендайзер-10","2","Кроха","г.Казань, Сибирский тракт, 13","09:56:52","01:14","2","1.97"
"5/23/2020","Saturday","Мерчендайзер-10","3","Магнит","г.Казань, Фучика ул., 55б","11:12:50","00:37","1","0.611"
"5/23/2020","Saturday","Мерчендайзер-10","4","Магнит","г.Казань, Сахарова ул., 1а","11:50:26","00:19","1","1.958"
"5/23/2020","Saturday","Мерчендайзер-10","5","Детский мир","г.Казань, Победы пр-кт, 141","12:11:23","02:24","3","0.0"
"5/23/2020","Saturday","Мерчендайзер-11","1","Пятёрочка","г.Казань, Достоевского ул., 73","09:00","00:44","1","1.318"
"5/23/2020","Saturday","Мерчендайзер-11","2","Пятёрочка","г.Казань, Достоевского ул., 81","09:45:19","01:40","1","0.185"
"5/23/2020","Saturday","Мерчендайзер-11","3","Бахетле","г.Казань, Павлюхина ул., 57","11:25:30","01:10","4","2.154"
"5/23/2020","Saturday","Мерчендайзер-11","4","Пятёрочка","г.Казань, Лушникова ул., 2","12:37:39","01:12","2","0.922"
"5/23/2020","Saturday","Мерчендайзер-11","5","Пятёрочка","г.Казань, Академика Сахарова ул., 19а","13:50:34","01:08","1","0.0"
"5/23/2020","Saturday","Мерчендайзер-11","6","Пятёрочка","г.Казань, Профессора Камая ул., 8А","14:58:34","00:40","2","0.056"
"5/23/2020","Saturday","Мерчендайзер-11","7","Эдельвейс","г.Казань, Сибирский тракт ул., 44","15:38:37","00:35","2","0.0"
"5/23/2020","Saturday","Мерчендайзер-12","1","Эдельвейс","г.Казань, Гаврилова ул., 30","09:00","01:04","2","0.784"
"5/23/2020","Saturday","Мерчендайзер-12","2","Пятёрочка","г.Казань, Гаврилова ул., 30А","10:04:47","00:44","1","4.386"
"5/23/2020","Saturday","Мерчендайзер-12","3","Эдельвейс","г.Казань, Адоратского ул., 12","10:53:10","01:50","3","0.745"
"5/23/2020","Saturday","Мерчендайзер-12","4","Пятёрочка","г.Казань, Даурская ул., 37","12:43:54","00:54","2","0.036"
"5/23/2020","Saturday","Мерчендайзер-12","5","Эдельвейс","г.Казань, Адоратского ул., 33а","13:37:56","01:43","4","0.946"
"5/23/2020","Saturday","Мерчендайзер-12","6","Пятёрочка","г.Казань, Адоратского ул., 32А","15:21:52","01:07","2","0.0"
"5/23/2020","Saturday","Мерчендайзер-13","1","Эдельвейс","г.Казань, Ибрагимова пр-кт, 1","09:00","00:54","1","2.687"
"5/23/2020","Saturday","Мерчендайзер-13","2","Пятёрочка","г.Казань, Батыршина ул., 20а","09:56:41","01:38","2","5.348"
"5/23/2020","Saturday","Мерчендайзер-13","3","Магнит","г.Казань, Маршала Чуйкова ул., 40","11:40:01","00:22","2","0.848"
"5/23/2020","Saturday","Мерчендайзер-13","4","Пятёрочка","г.Казань, Кулахметова ул., 20а","12:02:51","01:27","2","2.453"
"5/23/2020","Saturday","Мерчендайзер-13","5","Перекресток","г.Казань, Краснококшайская ул., 150/2","13:32:18","02:14","2","0.587"
"5/23/2020","Saturday","Мерчендайзер-13","6","Магнит","г.Казань, Маршала Чуйкова ул., 58а","15:46:53","00:39","1","0.465"
"5/23/2020","Saturday","Мерчендайзер-13","7","Пятёрочка","г.Казань, Фрунзе ул., 17","16:26:20","01:28","2","0.0"
"5/23/2020","Saturday","ВАКАНСИЯ (1)","1","Лента","г.Казань, Рихарда Зорге ул., 11б","09:00","04:19","4","0.379"
"5/23/2020","Saturday","ВАКАНСИЯ (1)","2","Магнит","г.Казань, Татарстан ул., 7","13:19:22","00:43","2","1.696"
"5/23/2020","Saturday","ВАКАНСИЯ (1)","3","Магнит","г.Казань, Сахарова ул., 18","14:04:03","00:38","1","2.515"
"5/23/2020","Saturday","ВАКАНСИЯ (1)","4","Эдельвейс","г.Казань, Гвардейская ул., 40","14:44:33","00:34","2","0.164"
"5/23/2020","Saturday","ВАКАНСИЯ (1)","5","Магнит","г.Казань, Даурская ул., 21/9","15:18:42","00:56","1","0.0"
