Код ТТ,Активность,Название/адрес,Наименование клиента,Код сети,Адрес клиента,Широта,Долгота,Количество посещений,День посещения,Закрепленный за клиентом ТП,Продолжительность посещения,Начало посещения,Конец посещения
00001,1,Эдельвейс,Эдельвейс,,"г.Казань, 40 лет Октября ул., 4",,,2,,Мерчендайзер-2,63,,
00002,1,Эдельвейс,Эдельвейс,,"г.Казань, Авангардная ул., 171 б",,,2,,Мерчендайзер-7,60,,
00003,1,Магнит,Магнит,,"г.Казань, Авангардная ул., 58",,,1,,Мерчендайзер-7,44,,
00004,1,Магнит,Магнит,,"г.Казань, Авангардная ул., 90 корп.48",,,2,,Мерчендайзер-7,37,,
00005,1,Эдельвейс,Эдельвейс,,"г.Казань, Адоратского ул., 11 а",,,2,,Мерчендайзер-5,123,,
00006,1,Эдельвейс,Эдельвейс,,"г.Казань, Адоратского ул., 12",,,3,,Мерчендайзер-6,110,,
00007,1,Пятёрочка,Пятёрочка,,"г.Казань, Адоратского ул., 29",,,2,,Мерчендайзер-6,59,,
00008,1,Пятёрочка,Пятёрочка,,"г.Казань, Адоратского ул., 32А",,,2,,Мерчендайзер-6,67,,
00009,1,Эдельвейс,Эдельвейс,,"г.Казань, Адоратского ул., 33а",,,4,,Мерчендайзер-6,103,,
00010,1,Магнит,Магнит,,"г.Казань, Академика Парина ул., 22",,,2,,Мерчендайзер-12,62,,
00011,1,Пятёрочка,Пятёрочка,,"г.Казань, Академика Сахарова ул., 19а",,,1,,Мерчендайзер-4,68,,
00012,1,Пятёрочка,Пятёрочка,,"г.Казань, Амирхана пр-кт, 85 А",,,2,,Мерчендайзер-6,41,,
00013,1,Пятёрочка,Пятёрочка,,"г.Казань, Амирхана ул., 30",,,2,,Мерчендайзер-6,35,,
00014,1,Пятёрочка,Пятёрочка,,"г.Казань, Амирхана ул., 36",,,2,,Мерчендайзер-6,30,,
00015,1,Эдельвейс,Эдельвейс,,"г.Казань, Амирхана ул., 41",,,2,,Мерчендайзер-6,71,,
00016,1,Магнит,Магнит,,"г.Казань, Амирхана ул., 71",,,2,,ВАКАНСИЯ (1),76,,
00017,1,Эдельвейс,Эдельвейс,,"г.Казань, Амирхана ул., 97",,,2,,Мерчендайзер-6,93,,
00018,1,Пятёрочка,Пятёрочка,,"г.Казань, Баки Урманче ул., 8",,,2,,Мерчендайзер-3,59,,
00019,1,Магнит,Магнит,,"г.Казань, Баки Урманче ул., 8",,,2,,Мерчендайзер-3,86,,
00020,1,Пятёрочка,Пятёрочка,,"г.Казань, Батыршина ул., 20а",,,2,,Мерчендайзер-2,98,,
00021,1,Верный,Верный,,"г.Казань, Бондаренко ул., 26",,,2,,Мерчендайзер-5,20,,
00022,1,Эдельвейс,Эдельвейс,,"г.Казань, Бутырский пер., 142/1",,,1,,Мерчендайзер-3,59,,
00023,1,Пятёрочка,Пятёрочка,,"г.Казань, Вишневского ул., 10",,,2,,Мерчендайзер-7,59,,
00024,1,Пятёрочка,Пятёрочка,,"г.Казань, Вишневского ул., 49",,,3,,Мерчендайзер-7,68,,
00025,1,Пятёрочка,Пятёрочка,,"г.Казань, Восстания ул., 129",,,1,,Мерчендайзер-2,45,,
00026,1,Магнит,Магнит,,"г.Казань, Восстания ул., 36",,,1,,Мерчендайзер-10,38,,
00027,1,Эдельвейс,Эдельвейс,,"г.Казань, Восстания ул., 56",,,3,,Мерчендайзер-10,65,,
00028,1,Пятёрочка,Пятёрочка,,"г.Казань, Восстания ул., 83а",,,1,,Мерчендайзер-2,65,,
00029,1,Пятёрочка,Пятёрочка,,"г.Казань, Восстания ул., 86",,,1,,Мерчендайзер-10,78,,
00030,1,Эдельвейс,Эдельвейс,,"г.Казань, Гаврилова ул., 30",,,2,,Мерчендайзер-6,64,,
00031,1,Магнит,Магнит,,"г.Казань, Гаврилова ул., 30",,,1,,Мерчендайзер-6,34,,
00032,1,Пятёрочка,Пятёрочка,,"г.Казань, Гаврилова ул., 30А",,,1,,Мерчендайзер-6,44,,
00033,1,Пятёрочка,Пятёрочка,,"г.Казань, Гагарина ул., 22",,,1,,Мерчендайзер-10,104,,
00034,1,Магнит,Магнит,,"г.Казань, Гагарина ул., 24",,,1,,Мерчендайзер-10,51,,
00035,1,Магнит,Магнит,,"г.Казань, Галимжана Баруди ул., 8",,,2,,Мерчендайзер-2,49,,
00036,1,Эдельвейс,Эдельвейс,,"г.Казань, Гареева ул., 108",,,3,,Мерчендайзер-3,85,,
00037,1,Эдельвейс,Эдельвейс,,"г.Казань, Гвардейская ул., 40",,,2,,Мерчендайзер-1,34,,
00038,1,Пятёрочка,Пятёрочка,,"г.Казань, Гвардейская ул., 44",,,1,,Мерчендайзер-1,117,,
00039,1,Эдельвейс,Эдельвейс,,"г.Казань, Главная ул., 69",,,2,,Мерчендайзер-11,195,,
00040,1,Эдельвейс,Эдельвейс,,"г.Казань, Голубятникова ул., 21а",,,2,,Мерчендайзер-6,72,,
00041,1,Пятёрочка,Пятёрочка,,"г.Казань, Горьковское ш., 4",,,2,,Мерчендайзер-2,93,,
00042,1,Магнит,Магнит,,"г.Казань, Горьковское ш., 6",,,2,,Мерчендайзер-2,92,,
00043,1,Магнит,Магнит,,"г.Казань, Даурская ул., 21/9",,,1,,Мерчендайзер-1,56,,
00044,1,Пятёрочка,Пятёрочка,,"г.Казань, Даурская ул., 37",,,2,,Мерчендайзер-1,54,,
00045,1,Пятёрочка,Пятёрочка,,"г.Казань, Даурская ул., 38",,,2,,Мерчендайзер-12,59,,
00046,1,Магнит,Магнит,,"г.Казань, Декабристов ул., 112",,,1,,Мерчендайзер-10,50,,
